# 「샘」(질량손실) 게이트 판정 — 기준 B · (무리 · 신호) 짝 (미해결 #84 · 세션 7.77)
# [가정값: 업계 공개자료 전형범위 · 프로젝트정리 5장] 실측 아님
# 가정값 기반 — 실측 아님.
#
# 내는 명령: .venv/Scripts/python.exe -m cdu_simul.massloss_gate --pairs
#   (읽는 것은 results/cdu_dataset.csv 하나다. 판정 기준·임계는 이 파일이
#    만들지 않는다 — docs/session745-massloss-gate-criteria.md 의 것을 쓴다.)
#
# 실린 짝: 이상 기구를 진 CDU 만 9,600. 뺀 짝 7,680 —
#   이웃 CDU 다. 뺀 근거는 기준 문서 2-4: 기대 부호는 기구를 진
#   CDU 에서 나온 것이라 이웃 CDU 의 통과·실패가 무엇을 뜻하는지
#   정해지지 않았다. 리포트의 통과율도 같은 모집단으로 내므로,
#   목록과 통과율이 같은 모집단을 봐야 합격선을 그을 때 어긋나지
#   않는다.
#   **이 파일은 전 짝이 아니다.** 이웃 CDU 짝까지 내려면 같은
#   명령에 --all-cdu 를 붙인다 (--pairs --all-cdu) — 그러면 같은
#   두 파일이 전 짝으로 다시 쓰인다. 세션 7.77 은 붙이지 않았다.
#
# 여유(margin) = value − threshold. **> 0 이면 통과쪽 여유다.**
#   A: value = delta_abs × expected_sign · threshold = 0 (원단위)
#   C: value = |delta_judged| · threshold = NOISE_THRESHOLD[unit] (판정단위)
#   B: margin = 수준 오름차순 |Δ| 의 이웃 차 최소 · threshold = 0 (원단위)
#   「해당 없음」 짝의 여유는 판정에 쓰이지 않는다 — 자리만 채운다.
#   unit 열은 **신호의 판정단위**(리포트와 같다)이고, A 의 value·margin 은
#   그것과 달리 원단위다 — 어느 쪽인지는 margin_unit 열이 말한다.
criterion,pump_head_rated_mAq,branch_dp_rated_mAq,valve_dp_rated_mAq,ntu,T_secondary_supply_C,cdu_config,cdu_index,load_percent,residual_return_share,pump_sees_supply_flow,share_uses_return_flow,signal,verdict,margin,threshold,margin_unit
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,False,⑶ 주입랙 통과유량,해당 없음,2.0431125458131305e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,False,⑷ 타 랙 유량,해당 없음,2.0431125458131305e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,False,⑸ 주입랙 출구온도,통과,0.0051628667191003785,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,True,⑴ 총유량,해당 없음,1.2225861622638945e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,True,⑵ 펌프 양정,해당 없음,3.7340952516728976e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,True,⑶ 주입랙 통과유량,해당 없음,1.5282327028298681e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,True,⑷ 타 랙 유량,해당 없음,1.5282327028298681e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,True,⑸ 주입랙 출구온도,통과,0.0038615347258001975,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,False,⑴ 총유량,통과,0.016863653262149114,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,False,⑵ 펌프 양정,통과,0.0065599370521916,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,False,⑶ 주입랙 통과유량,통과,0.0021079566577684172,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,False,⑷ 타 랙 유량,통과,0.0021079566577684172,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,False,⑸ 주입랙 출구온도,통과,0.0069153888991522194,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,True,⑴ 총유량,통과,0.01686772903752498,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,True,⑵ 펌프 양정,통과,0.006558704245435365,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,True,⑶ 주입랙 통과유량,통과,0.0021084661296904006,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,True,⑷ 타 랙 유량,통과,0.0021084661296904006,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,False,True,⑸ 주입랙 출구온도,통과,0.00563061954443711,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,False,⑴ 총유량,통과,0.0128100021796822,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,False,⑵ 펌프 양정,통과,0.003923740926211394,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,False,⑶ 주입랙 통과유량,통과,0.001601250272460275,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,False,⑷ 타 랙 유량,통과,0.001601250272460275,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,False,⑸ 주입랙 출구온도,통과,0.006391603229587872,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,True,⑴ 총유량,통과,0.012814076595164536,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,True,⑵ 펌프 양정,통과,0.003924992527462479,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,True,⑶ 주입랙 통과유량,통과,0.001601759574395789,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,True,⑷ 타 랙 유량,통과,0.001601759574395789,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.5,True,True,⑸ 주입랙 출구온도,통과,0.005102573890646056,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,False,⑴ 총유량,통과,0.02978883681915967,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,False,⑵ 펌프 양정,통과,0.002631724194756657,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,False,⑶ 주입랙 통과유량,통과,0.0037236046023947367,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,False,⑷ 타 랙 유량,통과,0.0037236046023947367,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,False,⑸ 주입랙 출구온도,통과,0.00813247793131211,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,True,⑴ 총유량,통과,0.029792868147689333,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,True,⑵ 펌프 양정,통과,0.0026304732511270856,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,True,⑶ 주입랙 통과유량,통과,0.0037241085184616107,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,True,⑷ 타 랙 유량,통과,0.0037241085184616107,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,False,True,⑸ 주입랙 출구온도,통과,0.006859911922408202,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,False,⑴ 총유량,통과,0.025711745284947796,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,False,⑵ 펌프 양정,통과,0.007885230639082863,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,False,⑶ 주입랙 통과유량,통과,0.0032139681606182524,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,False,⑷ 타 랙 유량,통과,0.0032139681606182524,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,False,⑸ 주입랙 출구온도,통과,0.007612374889770734,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,True,⑴ 총유량,통과,0.025715775233452476,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,True,⑵ 펌프 양정,통과,0.007886489682160658,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,True,⑶ 주입랙 통과유량,통과,0.0032144719041815595,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,True,⑷ 타 랙 유량,통과,0.0032144719041815595,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,1.0,True,True,⑸ 주입랙 출구온도,통과,0.006335576301463419,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,False,⑴ 총유량,통과,0.003952707908039699,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,False,⑵ 펌프 양정,통과,0.010472431928675974,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,False,⑶ 주입랙 통과유량,통과,0.0004940884885047403,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,False,⑷ 타 랙 유량,통과,0.0004940884885047403,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,False,⑸ 주입랙 출구온도,통과,0.027595198832898404,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,True,⑴ 총유량,통과,0.003975050999001084,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,True,⑵ 펌프 양정,통과,0.010465701060809351,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,True,⑶ 주입랙 통과유량,통과,0.0004968813748751355,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,True,⑷ 타 랙 유량,통과,0.0004968813748751355,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,False,True,⑸ 주입랙 출구온도,통과,0.021266628761111406,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,False,⑴ 총유량,해당 없음,8.978014604643647e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,False,⑵ 펌프 양정,해당 없음,2.7468981482314803e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,False,⑶ 주입랙 통과유량,해당 없음,1.1222518256026603e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,False,⑷ 타 랙 유량,해당 없음,1.1222518256026603e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,False,⑸ 주입랙 출구온도,통과,0.0255014394958053,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,True,⑴ 총유량,해당 없음,6.744849629392036e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,True,⑵ 펌프 양정,해당 없음,2.0636530990714164e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,True,⑶ 주입랙 통과유량,해당 없음,8.431062036518e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,True,⑷ 타 랙 유량,해당 없음,8.431062036518e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.0,True,True,⑸ 주입랙 출구온도,통과,0.019153336071440208,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,False,⑴ 총유량,통과,0.01679175810824063,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,False,⑵ 펌프 양정,통과,0.006593325756426793,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,False,⑶ 주입랙 통과유량,통과,0.0020989697635298565,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,False,⑷ 타 랙 유량,통과,0.0020989697635298565,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,False,⑸ 주입랙 출구온도,통과,0.03375153458818403,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,True,⑴ 총유량,통과,0.01681385521641765,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,True,⑵ 펌프 양정,통과,0.006586630338695443,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,True,⑶ 주입랙 통과유량,통과,0.002101731902051762,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,True,⑷ 타 랙 유량,통과,0.002101731902051762,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,False,True,⑸ 주입랙 출구온도,통과,0.027483119437661685,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,False,⑴ 총유량,통과,0.012725801104352286,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,False,⑵ 펌프 양정,통과,0.003904718621988934,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,False,⑶ 주입랙 통과유량,통과,0.0015907251380440357,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,False,⑷ 타 랙 유량,통과,0.0015907251380440357,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,False,⑸ 주입랙 출구온도,통과,0.0316716003178783,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,True,⑴ 총유량,통과,0.012747886717399126,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,True,⑵ 펌프 양정,통과,0.003911514662924276,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,True,⑶ 주입랙 통과유량,통과,0.0015934858396746687,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,True,⑷ 타 랙 유량,통과,0.0015934858396746687,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,0.5,True,True,⑸ 주입랙 출구온도,통과,0.025383769743669404,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,False,⑴ 총유량,통과,0.029706070986508237,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,False,⑵ 펌프 양정,통과,0.002661933376753467,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,False,⑶ 주입랙 통과유량,통과,0.0037132588733137517,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,False,⑷ 타 랙 유량,통과,0.0037132588733137517,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,False,⑸ 주입랙 출구온도,통과,0.03986826931338783,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,True,⑴ 총유량,통과,0.029727923045225424,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,True,⑵ 펌프 양정,통과,0.0026551346313823387,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,True,⑶ 주입랙 통과유량,통과,0.003715990380652734,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,True,⑷ 타 랙 유량,통과,0.003715990380652734,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,False,True,⑸ 주입랙 출구온도,통과,0.03365965535338944,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,False,⑴ 총유량,통과,0.025616645467229304,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,False,⑵ 펌프 양정,통과,0.007869527739725157,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,False,⑶ 주입랙 통과유량,통과,0.003202080683403219,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,False,⑷ 타 랙 유량,통과,0.003202080683403219,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,False,⑸ 주입랙 출구온도,통과,0.03780214371359136,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,True,⑴ 총유량,통과,0.025638485975463254,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,True,⑵ 펌프 양정,통과,0.007876369879440404,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,True,⑶ 주입랙 통과유량,통과,0.003204810746933129,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,True,⑷ 타 랙 유량,통과,0.003204810746933129,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,100.0,1.0,True,True,⑸ 주입랙 출구온도,통과,0.031574232279801606,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,False,⑴ 총유량,통과,0.004013876632139812,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,False,⑵ 펌프 양정,통과,0.010435489337513815,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,False,⑶ 주입랙 통과유량,통과,0.0005017345790174765,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,False,⑷ 타 랙 유량,통과,0.0005017345790174765,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,False,⑸ 주입랙 출구온도,통과,0.0056863417931936056,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,True,⑴ 총유량,통과,0.004017989113442866,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,True,⑵ 펌프 양정,통과,0.010434252626843943,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,True,⑶ 주입랙 통과유량,통과,0.0005022486391803582,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,True,⑷ 타 랙 유량,통과,0.0005022486391803582,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,False,True,⑸ 주입랙 출구온도,통과,0.0043917663553436626,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,False,⑴ 총유량,해당 없음,1.6332413560249393e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,False,⑵ 펌프 양정,해당 없음,4.988337188649439e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,False,⑶ 주입랙 통과유량,해당 없음,2.0415516943650402e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,False,⑷ 타 랙 유량,해당 없음,2.0415516943650402e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,False,⑸ 주입랙 출구온도,통과,0.00515899033995737,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,True,⑴ 총유량,해당 없음,1.2221276106672008e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,True,⑵ 펌프 양정,해당 없음,3.7326940081072735e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,True,⑶ 주입랙 통과유량,해당 없음,1.5276595131119564e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,True,⑷ 타 랙 유량,해당 없음,1.5276595131119564e-06,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.0,True,True,⑸ 주입랙 출구온도,통과,0.0038601376147511246,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,False,⑴ 총유량,통과,0.016863665994707233,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,False,⑵ 펌프 양정,통과,0.0065599319479972,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,False,⑶ 주입랙 통과유량,통과,0.002107958249338626,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,False,⑷ 타 랙 유량,통과,0.002107958249338626,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,False,⑸ 주입랙 출구온도,통과,0.006911141691510636,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,True,⑴ 총유량,통과,0.01686773397750052,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,True,⑵ 펌프 양정,통과,0.006558701498519781,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,True,⑶ 주입랙 통과유량,통과,0.002108466747187343,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,True,⑷ 타 랙 유량,통과,0.002108466747187343,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,False,True,⑸ 주입랙 출구온도,통과,0.005628811999333294,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,True,False,⑴ 총유량,통과,0.01281001602791143,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_symmetric,0,20.0,0.5,True,False,⑵ 펌프 양정,통과,0.0039237444364594865,0.0,원단위
